OsID,OsGene
LOC_Os09g19734,ICS1|OsVDAC1|OsICS1 
LOC_Os08g01090,IDEF1 
LOC_Os05g35170,IDEF2 
LOC_Os08g44460,IF1-1 
LOC_Os09g39550,IF1-2 
LOC_Os04g38520,IIP4 
LOC_Os06g50920,ILA1 
LOC_Os04g54900,ILI1 
LOC_Os04g56580,IPK1|OsIPK1 
LOC_Os07g28820,IRE1|OsIRE1 
LOC_Os09g29404,ISA3 
LOC_Os11g45740,JAmyb|OsJAmyb 
LOC_Os03g18850,JIOsPR10|OsPR10 
LOC_Os05g10770,JMJ703 
LOC_Os05g23670,JMJ704 
LOC_Os01g67970,JMJ705 
LOC_Os10g42690,JMJ706|OsJMJ706 
LOC_Os02g53520,K16 
LOC_Os04g47059,Kala4 
LOC_Os06g02019,KAO 
LOC_Os12g13930,KAR 
LOC_Os02g57240,KOB1 
LOC_Os02g52480,KRP1 
LOC_Os11g40030,KRP3 
LOC_Os04g52240,KS2|OsKS2|OsKSL2 
LOC_Os03g52860,L-2 
LOC_Os11g29840,LA1 
LOC_Os04g43840,LABA1|OsLOGL6|An-2 
LOC_Os03g15360,LAR 
LOC_Os01g61480,LAX1 
LOC_Os12g01550,LBD12-1 
LOC_Os02g05840,LC2|OsVIL3 
LOC_Os09g32540,LGD1 
LOC_Os03g39610,LHCB|LHCPII 
LOC_Os06g49080,LIC|OsLIC1 
LOC_Os05g03860,LIP19|OsbZIP38 
LOC_Os01g01340,Lir1|OsLIR1 
LOC_Os01g40630,LOG 
LOC_Os02g40240,LP2 
LOC_Os03g13400,LPA1 
LOC_Os03g05020,LPL2 
LOC_Os08g43130,LPL3 
LOC_Os06g03940,LRD6-6|LMR 
LOC_Os02g05980,LRK1 
LOC_Os02g51110,Lsi1|OsNIP2;1|OsLsi1 
LOC_Os03g01700,Lsi2|OsLsi2 
LOC_Os10g39980,Lsi3 
LOC_Os06g12310,Lsi6 
LOC_Os05g48390,LTN1|OsPHO2 
LOC_Os03g01300,Ltp1 
LOC_Os03g02050,LTP2|nsLTP2 
LOC_Os02g51080,LYL1|OsChlP 
LOC_Os09g27890,LYP4|OsLYP4 
