OsID,OsGene
LOC_Os01g67134,RPL5
LOC_Os01g67160,CDKB1;1|CDKB1
LOC_Os01g67220,Os1BGlu4
LOC_Os01g67240,OsFH1
LOC_Os01g67250,OsRAD21-1
LOC_Os01g67290,Osspr1
LOC_Os01g67410,BBM3
LOC_Os01g67430,EG1|GY1
LOC_Os01g67970,JMJ705
LOC_Os01g67980,REP-1|OsEP3A|OsSAG12-1
LOC_Os01g68000,PLA2|LHD2
LOC_Os01g68020,OsBT
LOC_Os01g68050,OsProT1
LOC_Os01g68104,HDT702
LOC_Os01g68120,OsDCL3a
LOC_Os01g68330,OsABCB24
LOC_Os01g68370,OSVP1|VP1
LOC_Os01g68480,OsTRX2
LOC_Os01g68770,OsSBP
LOC_Os01g68860,C3H12
LOC_Os01g68870,OsMSP1
LOC_Os01g69010,OsFRDL4
LOC_Os01g69030,sps1|SPS|OsSPS1
LOC_Os01g69080,OsSSI2
LOC_Os01g69210,OsMOGS
LOC_Os01g69290,RBG1-L
LOC_Os01g69850,OsMADS51|OsMADS65
LOC_Os01g69920,OHK2|OsHk3
LOC_Os01g70025,DPW2
LOC_Os01g70190,OsGT47A
LOC_Os01g70200,OsIRX10
LOC_Os01g70220,SDG714
LOC_Os01g70310,OsbHLH001|OsICE2
LOC_Os01g70380,OsLCB2a1
LOC_Os01g70440,RTS
LOC_Os01g70490,OsHAK5
LOC_Os01g70580,ROX1
LOC_Os01g70850,Pir7b
LOC_Os01g70860,Pir7a
LOC_Os01g70940,OsHAK2
LOC_Os01g71000,OsRLCK55
LOC_Os01g71080,OsCLP
LOC_Os01g71310,OsCKX4
LOC_Os01g71474,OsEGL2
LOC_Os01g71670,OsGLN2
LOC_Os01g71830,OsGLN1
LOC_Os01g71930,Osg1
LOC_Os01g71960,OsMUS81
LOC_Os01g71990,OsP5CR
LOC_Os01g72020,OsBOP1
LOC_Os01g72090,Se13|OsHY2
LOC_Os01g72220,OsFY
LOC_Os01g72330,OsRR4
LOC_Os01g72370,OsIRO2|OsbHLH056
LOC_Os01g72480,OsPIE1
LOC_Os01g72530,OsMSR2
LOC_Os01g72570,OsCLT1
LOC_Os01g72670,OsLCD
LOC_Os01g72690,OsNADK1
LOC_Os01g72880,OsMLH1
LOC_Os01g72890,OsSR45
LOC_Os01g72900,Asr1
LOC_Os01g72910,Asr2
LOC_Os01g72930,EMP5|OsEMP5
LOC_Os01g73250,Asr6|OsASR6
LOC_Os01g73450,YGL8|YL2
LOC_Os01g73770,OsDREB1F|RCBF2
LOC_Os01g73880,p26
LOC_Os01g73900,OsRH58
LOC_Os01g74020,OsPCL1
LOC_Os01g74110,OsZIP1
LOC_Os01g74146,OsCCS52B
LOC_Os01g74200,OsRLCK57
LOC_Os01g74300,OsMTI2B
LOC_Os01g74410,OsMYB48-1
LOC_Os01g74440,MADS79
LOC_Os02g01030,HSP40
LOC_Os02g01070,DPW3|PL1
LOC_Os02g01150,OsHPR1
LOC_Os02g01220,OsHAC1;1
LOC_Os02g01340,OsLFNR1|LFNR1
LOC_Os02g01440,OsNOA1
LOC_Os02g01590,OSINV3|OsVIN2
LOC_Os02g02000,OsHPL3
LOC_Os02g02170,OsNRT2.1
LOC_Os02g02190,OsNRT2.2
LOC_Os02g02210,OsGABA-T
LOC_Os02g02400,OsCATA
LOC_Os02g02410,OsBip1
LOC_Os02g02480,OsbHLH59|OsbHLH059|OsPRI3
LOC_Os02g02530,OsSPP1
LOC_Os02g02540,OsGLR3.2
LOC_Os02g02560,OsUgp2|Ugp2
LOC_Os02g02780,OsACTPK1
LOC_Os02g02820,TDR
LOC_Os02g02840,OsRacB
LOC_Os02g02860,OsGluRS|Cde1(t)
LOC_Os02g02870,OsCSP1
LOC_Os02g02890,OsCYP2|OsCyp2-P|LRT2
LOC_Os02g03060,cdc2Os-2|CDKA2
LOC_Os02g03280,OsBI-1
LOC_Os02g03294,OsCYCP4;3
LOC_Os02g03330,OsLIL3
LOC_Os02g03410,OsCPK4
LOC_Os02g03900,Nrat1
LOC_Os02g04130,OsSGL
LOC_Os02g04160,OsTEF1
LOC_Os02g04170,OsLASPO
LOC_Os02g04230,OsMPK13|OsBIMK2
LOC_Os02g04330,OsGBP
LOC_Os02g04490,OsHAC703
LOC_Os02g04520,RGG2
LOC_Os02g04640,OsPHR3
LOC_Os02g04680,OsSPL3
LOC_Os02g04740,OsCNX6
LOC_Os02g04840,CAP1
LOC_Os02g05330,OseIF4A
LOC_Os02g05480,OsMAPK33|OsMAPK3
